"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "HTML", "Markdown", "YAML", "Ignore", "comment", "blank", "total"
"g:\graduation-project\RobinStudio\src\renderer\src\components\file-finder\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\graduation-project\RobinStudio\src\renderer\src\components\file-operation\components\file-operations.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 213, 0, 0, 0, 0, 0, 4, 22, 239
"g:\graduation-project\RobinStudio\src\renderer\src\components\file-operation\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\graduation-project\RobinStudio\src\renderer\src\components\output-panel\components\ast-panel.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 12, 8, 159
"g:\graduation-project\RobinStudio\src\renderer\src\components\output-panel\components\output-panel.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 5, 34
"g:\graduation-project\RobinStudio\src\renderer\src\components\output-panel\components\tokens-panel.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 8, 53
"g:\graduation-project\RobinStudio\src\renderer\src\components\output-panel\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\graduation-project\RobinStudio\src\renderer\src\components\settings-tab\components\settings-tab.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 4, 64
"g:\graduation-project\RobinStudio\src\renderer\src\components\settings-tab\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\graduation-project\RobinStudio\src\renderer\src\components\tabs-bar\components\tabs-bar.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 6, 47
"g:\graduation-project\RobinStudio\src\renderer\src\components\tabs-bar\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\graduation-project\RobinStudio\src\renderer\src\components\title-bar\components\title-bar-action.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"g:\graduation-project\RobinStudio\src\renderer\src\components\title-bar\components\title-bar.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 14, 13, 172
"g:\graduation-project\RobinStudio\src\renderer\src\components\title-bar\components\toggles\direction-toggle.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
